order_id,customer_id,pet_id,order_date,product_id,qty_lbs,unit_price,total_amount,delivery_status,rating,channel
BB000080,C0009,PET0010,2026-04-08,P09,4.0,12.5,50.0,Delivered,4,Re-order Email
BB000081,C0009,PET0010,2026-04-20,P09,5.0,12.5,62.5,Delivered,,Pickup
BB000082,C0010,PET0011,2026-05-02,P01,4.0,14.5,58.0,Scheduled,,Pickup
BB000083,C0011,PET0012,2025-11-19,P01,4.0,14.5,58.0,Delivered,5,Web
BB000084,C0011,PET0012,2025-12-01,P01,4.0,14.5,58.0,Delivered,,Web
BB000085,C0011,PET0012,2025-12-13,P01,6.0,14.5,87.0,Delivered,5,Web
BB000086,C0011,PET0012,2025-12-21,P01,5.0,14.5,72.5,Delivered,5,Pickup
BB000087,C0011,PET0012,2026-01-02,P01,5.0,14.5,72.5,Delivered,5,Web
BB000088,C0011,PET0012,2026-01-09,P01,3.0,14.5,43.5,Delivered,,Web
BB000089,C0011,PET0012,2026-01-20,P01,5.0,14.5,72.5,Delivered,,Web
BB000090,C0011,PET0012,2026-02-01,P06,4.0,14.5,58.0,Delivered,,Web
BB000091,C0011,PET0012,2026-02-09,P04,5.0,14.0,70.0,Delivered,,Web
BB000092,C0011,PET0012,2026-02-22,P11,3.0,12.0,36.0,Delivered,,Web
BB000093,C0011,PET0012,2026-03-01,P01,4.0,14.5,58.0,Delivered,,Web
BB000094,C0011,PET0012,2026-03-12,P01,3.0,14.5,43.5,Delivered,,Web
BB000095,C0011,PET0012,2026-03-21,P01,3.0,14.5,43.5,Delivered,,Pickup
BB000096,C0011,PET0012,2026-04-01,P09,3.0,12.5,37.5,Delivered,,Web
BB000097,C0011,PET0012,2026-04-14,P01,5.0,14.5,72.5,Delivered,5,Web
BB000098,C0011,PET0012,2026-04-22,P01,5.0,14.5,72.5,Delivered,,Web
BB000099,C0012,PET0013,2024-11-18,P04,4.0,14.0,56.0,Delivered,,Re-order Email
BB000100,C0012,PET0013,2024-12-02,P04,5.0,14.0,70.0,Delivered,,Web
BB000101,C0012,PET0013,2024-12-16,P07,3.0,13.5,40.5,Delivered,,Web
BB000102,C0012,PET0013,2024-12-28,P04,5.0,14.0,70.0,Delivered,,Re-order Email
BB000103,C0012,PET0013,2025-01-07,P04,6.0,14.0,84.0,Delivered,5,Web
BB000104,C0012,PET0013,2025-01-15,P04,3.0,14.0,42.0,Delivered,,Re-order Email
BB000105,C0012,PET0013,2025-01-29,P04,4.0,14.0,56.0,Delivered,,Web
BB000106,C0012,PET0013,2025-02-05,P10,4.0,13.0,52.0,Delivered,,Web
BB000107,C0012,PET0013,2025-02-12,P04,5.0,14.0,70.0,Delivered,,Web
BB000108,C0012,PET0013,2025-02-24,P04,3.0,14.0,42.0,Delivered,,Web
BB000109,C0012,PET0013,2025-03-06,P04,3.0,14.0,42.0,Delivered,,Web
BB000110,C0012,PET0013,2025-03-15,P04,6.0,14.0,84.0,Delivered,,Web
BB000111,C0012,PET0013,2025-03-29,P04,5.0,14.0,70.0,Delivered,,Web
BB000112,C0012,PET0013,2025-04-12,P04,4.0,14.0,56.0,Delivered,5,Pickup
BB000113,C0012,PET0013,2025-04-19,P04,5.0,14.0,70.0,Delivered,5,Web
BB000114,C0012,PET0013,2025-04-27,P04,2.0,14.0,28.0,Delivered,5,Pickup
BB000115,C0012,PET0013,2025-05-08,P04,4.0,14.0,56.0,Delivered,4,Web
BB000116,C0012,PET0013,2025-05-15,P04,5.0,14.0,70.0,Delivered,,Re-order Email
BB000117,C0012,PET0013,2025-05-26,P04,6.0,14.0,84.0,Delivered,,Web
BB000118,C0012,PET0013,2025-06-05,P04,2.0,14.0,28.0,Delivered,,Pickup
BB000119,C0012,PET0013,2025-06-17,P04,5.0,14.0,70.0,Delivered,,Web
BB000120,C0012,PET0013,2025-06-24,P04,2.0,14.0,28.0,Delivered,5,Pickup
BB000121,C0012,PET0013,2025-07-08,P06,6.0,14.5,87.0,Delivered,,Web
BB000122,C0012,PET0013,2025-07-18,P04,5.0,14.0,70.0,Delivered,,Web
BB000123,C0012,PET0013,2025-07-28,P09,4.0,12.5,50.0,Delivered,,Web
BB000124,C0012,PET0013,2025-08-10,P04,7.0,14.0,98.0,Delivered,5,Web
BB000125,C0012,PET0013,2025-08-22,P03,5.0,13.5,67.5,Delivered,,Pickup
BB000126,C0012,PET0013,2025-09-02,P04,3.0,14.0,42.0,Delivered,5,Web
BB000127,C0012,PET0013,2025-09-13,P04,3.0,14.0,42.0,Delivered,5,Web
BB000128,C0012,PET0013,2025-09-22,P04,4.0,14.0,56.0,Delivered,,Web
BB000129,C0012,PET0013,2025-10-01,P04,5.0,14.0,70.0,Delivered,,Re-order Email
BB000130,C0012,PET0013,2025-10-11,P04,5.0,14.0,70.0,Delivered,,Web
BB000131,C0012,PET0013,2025-10-20,P02,4.0,13.0,52.0,Delivered,,Web
BB000132,C0012,PET0013,2025-10-31,P04,4.0,14.0,56.0,Delivered,,Pickup
BB000133,C0012,PET0013,2025-11-08,P03,3.0,13.5,40.5,Delivered,,Re-order Email
BB000134,C0012,PET0013,2025-11-19,P04,5.0,14.0,70.0,Delivered,,Web
BB000135,C0012,PET0013,2025-11-26,P04,4.0,14.0,56.0,Delivered,,Re-order Email
BB000136,C0012,PET0013,2025-12-04,P04,7.0,14.0,98.0,Delivered,,Web
BB000137,C0012,PET0013,2025-12-12,P04,5.0,14.0,70.0,Delivered,4,Re-order Email
BB000138,C0012,PET0013,2025-12-26,P03,4.0,13.5,54.0,Delivered,5,Web
BB000139,C0012,PET0013,2026-01-07,P04,7.0,14.0,98.0,Delivered,5,Web
BB000140,C0012,PET0013,2026-01-18,P04,4.0,14.0,56.0,Delivered,,Re-order Email
BB000141,C0012,PET0013,2026-02-01,P04,5.0,14.0,70.0,Delivered,5,Re-order Email
BB000142,C0012,PET0013,2026-02-09,P10,5.0,13.0,65.0,Delivered,,Web
BB000143,C0012,PET0013,2026-02-23,P04,5.0,14.0,70.0,Delivered,,Pickup
BB000144,C0012,PET0013,2026-03-09,P04,3.0,14.0,42.0,Delivered,5,Web
BB000145,C0012,PET0013,2026-03-16,P04,3.0,14.0,42.0,Delivered,,Re-order Email
BB000146,C0012,PET0013,2026-03-23,P02,7.0,13.0,91.0,Delivered,,Web
BB000147,C0012,PET0013,2026-04-05,P08,4.0,15.5,62.0,Delivered,,Web
BB000148,C0012,PET0013,2026-04-14,P01,4.0,14.5,58.0,Delivered,5,Web
BB000149,C0012,PET0013,2026-04-23,P08,5.0,15.5,77.5,Delivered,,Re-order Email
BB000150,C0012,PET0014,2024-11-15,P03,5.0,13.5,67.5,Delivered,,Pickup
BB000151,C0012,PET0014,2024-11-23,P08,5.0,15.5,77.5,Delivered,4,Pickup
BB000152,C0012,PET0014,2024-12-07,P03,5.0,13.5,67.5,Delivered,5,Web
BB000153,C0012,PET0014,2024-12-19,P03,4.0,13.5,54.0,Delivered,,Web
BB000154,C0012,PET0014,2025-01-01,P03,6.0,13.5,81.0,Delivered,,Web
BB000155,C0012,PET0014,2025-01-08,P03,7.0,13.5,94.5,Delivered,4,Web
BB000156,C0012,PET0014,2025-01-15,P03,5.0,13.5,67.5,Delivered,,Re-order Email
BB000157,C0012,PET0014,2025-01-28,P03,7.0,13.5,94.5,Delivered,5,Web
BB000158,C0012,PET0014,2025-02-04,P03,6.0,13.5,81.0,Delivered,5,Web
BB000159,C0012,PET0014,2025-02-18,P03,7.0,13.5,94.5,Delivered,4,Web
BB000160,C0012,PET0014,2025-02-27,P02,3.0,13.0,39.0,Delivered,,Re-order Email
BB000161,C0012,PET0014,2025-03-08,P03,4.0,13.5,54.0,Delivered,,Web
BB000162,C0012,PET0014,2025-03-16,P02,3.0,13.0,39.0,Delivered,,Re-order Email
BB000163,C0012,PET0014,2025-03-29,P03,2.0,13.5,27.0,Delivered,,Web
BB000164,C0012,PET0014,2025-04-10,P03,5.0,13.5,67.5,Delivered,,Pickup
BB000165,C0012,PET0014,2025-04-19,P03,4.0,13.5,54.0,Delivered,,Pickup
BB000166,C0012,PET0014,2025-04-29,P03,7.0,13.5,94.5,Delivered,,Web
BB000167,C0012,PET0014,2025-05-06,P08,4.0,15.5,62.0,Delivered,5,Pickup
BB000168,C0012,PET0014,2025-05-15,P03,4.0,13.5,54.0,Delivered,5,Pickup
BB000169,C0012,PET0014,2025-05-23,P01,5.0,14.5,72.5,Delivered,,Web
BB000170,C0012,PET0014,2025-06-03,P03,4.0,13.5,54.0,Delivered,,Web
BB000171,C0012,PET0014,2025-06-16,P03,4.0,13.5,54.0,Delivered,,Web
BB000172,C0012,PET0014,2025-06-30,P03,4.0,13.5,54.0,Delivered,,Web
BB000173,C0012,PET0014,2025-07-10,P03,5.0,13.5,67.5,Delivered,,Web
BB000174,C0012,PET0014,2025-07-17,P05,4.0,15.0,60.0,Delivered,5,Web
BB000175,C0012,PET0014,2025-07-24,P12,3.0,12.5,37.5,Delivered,,Web
BB000176,C0012,PET0014,2025-08-07,P02,5.0,13.0,65.0,Delivered,4,Web
BB000177,C0012,PET0014,2025-08-17,P01,4.0,14.5,58.0,Delivered,5,Web
BB000178,C0012,PET0014,2025-08-31,P03,3.0,13.5,40.5,Delivered,,Re-order Email
BB000179,C0012,PET0014,2025-09-07,P03,6.0,13.5,81.0,Delivered,5,Web
BB000180,C0012,PET0014,2025-09-21,P03,5.0,13.5,67.5,Delivered,,Re-order Email
BB000181,C0012,PET0014,2025-09-28,P03,4.0,13.5,54.0,Delivered,,Web
BB000182,C0012,PET0014,2025-10-06,P03,4.0,13.5,54.0,Delivered,,Web
BB000183,C0012,PET0014,2025-10-15,P02,6.0,13.0,78.0,Delivered,5,Web
BB000184,C0012,PET0014,2025-10-28,P03,6.0,13.5,81.0,Delivered,,Web
BB000185,C0012,PET0014,2025-11-06,P03,7.0,13.5,94.5,Delivered,,Pickup
BB000186,C0012,PET0014,2025-11-18,P03,6.0,13.5,81.0,Delivered,5,Web
BB000187,C0012,PET0014,2025-12-01,P03,4.0,13.5,54.0,Delivered,,Pickup
BB000188,C0012,PET0014,2025-12-13,P03,5.0,13.5,67.5,Delivered,,Web
BB000189,C0012,PET0014,2025-12-25,P03,7.0,13.5,94.5,Delivered,3,Web
BB000190,C0012,PET0014,2026-01-02,P03,5.0,13.5,67.5,Delivered,,Web
BB000191,C0012,PET0014,2026-01-15,P03,5.0,13.5,67.5,Delivered,,Re-order Email
BB000192,C0012,PET0014,2026-01-25,P03,5.0,13.5,67.5,Delivered,,Web
BB000193,C0012,PET0014,2026-02-03,P03,3.0,13.5,40.5,Delivered,,Web
BB000194,C0012,PET0014,2026-02-16,P08,6.0,15.5,93.0,Delivered,,Web
BB000195,C0012,PET0014,2026-02-26,P03,4.0,13.5,54.0,Delivered,,Web
BB000196,C0012,PET0014,2026-03-05,P03,6.0,13.5,81.0,Delivered,5,Web
BB000197,C0012,PET0014,2026-03-19,P03,7.0,13.5,94.5,Delivered,,Web
BB000198,C0012,PET0014,2026-03-27,P03,3.0,13.5,40.5,Delivered,,Web
BB000199,C0012,PET0014,2026-04-10,P01,6.0,14.5,87.0,Delivered,5,Web
BB000200,C0012,PET0014,2026-04-22,P03,5.0,13.5,67.5,Delivered,,Web
BB000201,C0013,PET0015,2026-03-03,P11,3.0,12.0,36.0,Delivered,,Web
BB000202,C0013,PET0015,2026-03-17,P12,6.0,12.5,75.0,Delivered,,Pickup
BB000203,C0013,PET0015,2026-03-31,P12,4.0,12.5,50.0,Delivered,,Web
BB000204,C0013,PET0015,2026-04-08,P12,3.0,12.5,37.5,Delivered,,Web
BB000205,C0013,PET0015,2026-04-19,P06,7.0,14.5,101.5,Delivered,4,Web
BB000206,C0014,PET0016,2026-01-25,P10,4.0,13.0,52.0,Delivered,,Web
BB000207,C0014,PET0016,2026-02-06,P10,7.0,13.0,91.0,Delivered,5,Web
BB000208,C0014,PET0016,2026-02-19,P10,3.0,13.0,39.0,Delivered,5,Web
BB000209,C0014,PET0016,2026-03-03,P10,4.0,13.0,52.0,Delivered,,Re-order Email
BB000210,C0014,PET0016,2026-03-12,P10,4.0,13.0,52.0,Delivered,,Web
BB000211,C0014,PET0016,2026-03-21,P10,5.0,13.0,65.0,Delivered,4,Re-order Email
BB000212,C0015,PET0017,2026-04-28,P10,6.0,13.0,78.0,Delivered,,Web
BB000213,C0016,PET0018,2026-05-01,P08,4.0,15.5,62.0,Delivered,5,Web
BB000214,C0016,PET0019,2025-10-22,P02,4.0,13.0,52.0,Delivered,,Web
BB000215,C0016,PET0019,2025-11-03,P02,5.0,13.0,65.0,Delivered,4,Web
BB000216,C0016,PET0019,2025-11-10,P02,7.0,13.0,91.0,Delivered,,Re-order Email
BB000217,C0016,PET0019,2025-11-19,P08,6.0,15.5,93.0,Delivered,5,Web
BB000218,C0016,PET0019,2025-11-27,P02,4.0,13.0,52.0,Delivered,4,Web
BB000219,C0016,PET0019,2025-12-05,P02,5.0,13.0,65.0,Delivered,5,Re-order Email
BB000220,C0016,PET0019,2025-12-12,P02,5.0,13.0,65.0,Delivered,,Web
BB000221,C0016,PET0019,2025-12-19,P02,6.0,13.0,78.0,Delivered,,Web
BB000222,C0016,PET0019,2025-12-30,P02,7.0,13.0,91.0,Delivered,5,Web
BB000223,C0016,PET0019,2026-01-09,P02,6.0,13.0,78.0,Delivered,,Pickup
BB000224,C0016,PET0019,2026-01-17,P02,5.0,13.0,65.0,Delivered,,Web
BB000225,C0016,PET0019,2026-01-27,P11,6.0,12.0,72.0,Delivered,,Web
BB000226,C0016,PET0019,2026-02-09,P02,7.0,13.0,91.0,Delivered,,Pickup
BB000227,C0016,PET0019,2026-02-16,P02,5.0,13.0,65.0,Delivered,,Web
BB000228,C0016,PET0019,2026-02-23,P06,4.0,14.5,58.0,Delivered,5,Web
BB000229,C0016,PET0019,2026-03-06,P02,2.0,13.0,26.0,Delivered,5,Pickup
BB000230,C0017,PET0020,2025-12-17,P03,5.0,13.5,67.5,Delivered,,Web
BB000231,C0017,PET0020,2025-12-24,P03,6.0,13.5,81.0,Delivered,,Pickup
BB000232,C0017,PET0020,2026-01-01,P11,4.0,12.0,48.0,Delivered,5,Web
BB000233,C0017,PET0020,2026-01-09,P02,7.0,13.0,91.0,Delivered,,Web
BB000234,C0017,PET0020,2026-01-22,P03,3.0,13.5,40.5,Delivered,,Web
BB000235,C0017,PET0020,2026-02-02,P03,7.0,13.5,94.5,Delivered,,Web
BB000236,C0017,PET0020,2026-02-16,P03,5.0,13.5,67.5,Delivered,5,Web
BB000237,C0017,PET0020,2026-02-24,P03,5.0,13.5,67.5,Delivered,,Re-order Email
BB000238,C0017,PET0020,2026-03-05,P03,6.0,13.5,81.0,Delivered,,Pickup
BB000239,C0017,PET0020,2026-03-13,P03,5.0,13.5,67.5,Delivered,,Web
BB000240,C0017,PET0020,2026-03-21,P11,5.0,12.0,60.0,Delivered,,Web
BB000241,C0017,PET0020,2026-03-29,P03,3.0,13.5,40.5,Delivered,,Re-order Email
BB000242,C0017,PET0020,2026-04-10,P03,5.0,13.5,67.5,Delivered,,Web
BB000243,C0017,PET0020,2026-04-19,P03,4.0,13.5,54.0,Delivered,,Re-order Email
BB000244,C0017,PET0020,2026-04-28,P09,5.0,12.5,62.5,Delivered,,Web
BB000245,C0018,PET0021,2025-08-09,P10,6.0,13.0,78.0,Delivered,,Web
BB000246,C0018,PET0021,2025-08-20,P10,4.0,13.0,52.0,Delivered,4,Re-order Email
BB000247,C0018,PET0021,2025-08-29,P10,5.0,13.0,65.0,Delivered,,Re-order Email
BB000248,C0018,PET0021,2025-09-06,P10,6.0,13.0,78.0,Delivered,,Web
BB000249,C0018,PET0021,2025-09-14,P10,6.0,13.0,78.0,Delivered,,Pickup
BB000250,C0018,PET0021,2025-09-22,P10,6.0,13.0,78.0,Delivered,,Web
BB000251,C0018,PET0021,2025-10-05,P08,3.0,15.5,46.5,Delivered,,Web
BB000252,C0018,PET0021,2025-10-15,P02,3.0,13.0,39.0,Delivered,,Pickup
BB000253,C0018,PET0021,2025-10-28,P10,3.0,13.0,39.0,Delivered,,Web
BB000254,C0018,PET0021,2025-11-05,P07,3.0,13.5,40.5,Delivered,,Pickup
BB000255,C0018,PET0021,2025-11-12,P10,5.0,13.0,65.0,Delivered,,Pickup
BB000256,C0018,PET0021,2025-11-25,P10,4.0,13.0,52.0,Delivered,5,Web
BB000257,C0018,PET0021,2025-12-08,P10,5.0,13.0,65.0,Delivered,4,Web
BB000258,C0018,PET0021,2025-12-18,P10,6.0,13.0,78.0,Delivered,,Web
BB000259,C0018,PET0021,2025-12-25,P10,3.0,13.0,39.0,Delivered,,Re-order Email
BB000260,C0018,PET0021,2026-01-05,P10,5.0,13.0,65.0,Delivered,5,Re-order Email
BB000261,C0018,PET0021,2026-01-17,P10,4.0,13.0,52.0,Delivered,,Pickup
BB000262,C0018,PET0021,2026-01-28,P10,7.0,13.0,91.0,Delivered,5,Pickup
BB000263,C0018,PET0021,2026-02-04,P10,5.0,13.0,65.0,Delivered,4,Web
BB000264,C0018,PET0021,2026-02-16,P04,5.0,14.0,70.0,Delivered,,Web
BB000265,C0018,PET0021,2026-02-24,P10,5.0,13.0,65.0,Delivered,,Pickup
BB000266,C0018,PET0021,2026-03-07,P04,2.0,14.0,28.0,Delivered,,Web
BB000267,C0018,PET0021,2026-03-16,P12,4.0,12.5,50.0,Delivered,5,Web
BB000268,C0018,PET0021,2026-03-24,P10,6.0,13.0,78.0,Delivered,,Re-order Email
BB000269,C0018,PET0021,2026-04-02,P07,4.0,13.5,54.0,Delivered,,Web
BB000270,C0018,PET0021,2026-04-15,P07,4.0,13.5,54.0,Delivered,,Web
BB000271,C0018,PET0021,2026-04-25,P10,4.0,13.0,52.0,Delivered,,Pickup
BB000272,C0019,PET0022,2025-11-23,P07,4.0,13.5,54.0,Delivered,,Pickup
BB000273,C0019,PET0022,2025-11-30,P06,4.0,14.5,58.0,Delivered,5,Web
BB000274,C0019,PET0022,2025-12-08,P12,5.0,12.5,62.5,Delivered,5,Web
BB000275,C0019,PET0022,2025-12-17,P08,3.0,15.5,46.5,Delivered,,Web
BB000276,C0019,PET0022,2025-12-24,P08,6.0,15.5,93.0,Delivered,,Pickup
BB000277,C0019,PET0022,2026-01-01,P11,4.0,12.0,48.0,Delivered,,Re-order Email
BB000278,C0019,PET0022,2026-01-11,P08,2.0,15.5,31.0,Delivered,,Pickup
BB000279,C0019,PET0022,2026-01-24,P10,3.0,13.0,39.0,Delivered,4,Web
BB000280,C0019,PET0022,2026-02-02,P08,4.0,15.5,62.0,Delivered,5,Web
BB000281,C0019,PET0022,2026-02-11,P08,7.0,15.5,108.5,Delivered,5,Re-order Email
BB000282,C0019,PET0022,2026-02-22,P08,4.0,15.5,62.0,Delivered,5,Web
BB000283,C0019,PET0022,2026-03-04,P11,7.0,12.0,84.0,Delivered,,Web
BB000284,C0019,PET0022,2026-03-11,P01,7.0,14.5,101.5,Delivered,,Web
BB000285,C0019,PET0022,2026-03-18,P08,3.0,15.5,46.5,Delivered,,Web
BB000286,C0019,PET0022,2026-03-31,P02,6.0,13.0,78.0,Delivered,,Web
BB000287,C0019,PET0022,2026-04-10,P08,6.0,15.5,93.0,Delivered,,Web
BB000288,C0019,PET0022,2026-04-19,P08,7.0,15.5,108.5,Delivered,,Web
BB000289,C0019,PET0022,2026-04-29,P08,6.0,15.5,93.0,Delivered,4,Web
BB000290,C0020,PET0023,2026-03-30,P08,4.0,15.5,62.0,Delivered,,Web
BB000291,C0020,PET0023,2026-04-13,P10,3.0,13.0,39.0,Delivered,,Web
BB000292,C0020,PET0023,2026-04-23,P08,5.0,15.5,77.5,Delivered,,Pickup
BB000293,C0021,PET0024,2026-02-06,P04,3.0,14.0,42.0,Delivered,5,Web
BB000294,C0021,PET0024,2026-02-15,P04,6.0,14.0,84.0,Delivered,,Web
BB000295,C0021,PET0024,2026-02-22,P12,6.0,12.5,75.0,Delivered,,Web
BB000296,C0021,PET0024,2026-03-05,P11,3.0,12.0,36.0,Delivered,,Re-order Email
BB000297,C0021,PET0024,2026-03-17,P04,6.0,14.0,84.0,Delivered,,Web
BB000298,C0021,PET0024,2026-03-25,P11,3.0,12.0,36.0,Delivered,,Web
BB000299,C0021,PET0024,2026-04-03,P04,4.0,14.0,56.0,Delivered,4,Re-order Email
BB000300,C0021,PET0024,2026-04-11,P01,6.0,14.5,87.0,Delivered,,Web
