pet_id,customer_id,pet_name,breed,size,age_years,life_stage,weight_lbs,allergy,activity_level,birthday_month,birthday_day
PET0157,C0128,Sophie,Golden Retriever,large,7.2,senior,64.0,,low,8,22
PET0158,C0129,Rocky,Australian Shepherd,medium,8.5,senior,54.4,,high,10,27
PET0159,C0130,Beans,French Bulldog,small,0.9,puppy,22.0,,high,7,4
PET0160,C0131,Maggie,Pembroke Welsh Corgi,small,2.0,adult,23.5,,medium,5,7
PET0161,C0132,Bailey,Labrador,large,5.5,adult,67.3,,medium,9,21
PET0162,C0132,Daisy,Rottweiler,large,12.7,senior,97.8,chicken,low,11,18
PET0163,C0133,Rocky,Shih Tzu,small,13.9,senior,12.9,,low,11,5
PET0164,C0134,Duke,French Bulldog,small,5.5,adult,18.9,,low,11,16
PET0165,C0135,Ruby,Pembroke Welsh Corgi,small,0.8,puppy,29.0,,medium,6,26
PET0166,C0135,Sophie,Cavalier King Charles,small,5.9,adult,16.9,,low,5,10
PET0167,C0136,Ruby,Bulldog,medium,6.8,adult,45.8,,high,1,22
PET0168,C0137,Sophie,German Shepherd,large,1.6,adult,83.2,,low,1,6
PET0169,C0138,Sadie,Bulldog,medium,7.5,senior,48.1,,medium,1,21
PET0170,C0139,Riley,French Bulldog,small,6.8,adult,18.8,,medium,5,26
PET0171,C0140,Milo,Labrador,large,5.3,adult,72.9,chicken,low,5,12
PET0172,C0141,Rocky,Pembroke Welsh Corgi,small,4.9,adult,23.9,,high,12,8
PET0173,C0142,Bella,Poodle,medium,12.0,senior,56.1,,low,5,7
PET0174,C0143,Jack,Boxer,large,3.7,adult,62.6,,high,3,22
PET0175,C0144,Gus,Mixed Breed,medium,2.5,adult,22.5,,medium,9,16
PET0176,C0145,Riley,Australian Shepherd,medium,0.7,puppy,56.9,,medium,11,13
PET0177,C0146,Duke,French Bulldog,small,5.6,adult,22.3,,medium,9,5
PET0178,C0147,Milo,Labrador,large,3.7,adult,69.0,,medium,4,4
PET0179,C0147,Buddy,Golden Retriever,large,6.4,adult,63.8,chicken,medium,11,10
PET0180,C0148,Rocky,Dachshund,small,3.7,adult,27.0,beef,low,3,15
PET0181,C0149,Lucy,Bulldog,medium,7.7,senior,48.0,,medium,7,9
PET0182,C0150,Finn,Labrador,large,2.1,adult,56.9,,high,6,13
PET0183,C0151,Gus,Golden Retriever,large,2.3,adult,73.5,,medium,5,5
PET0184,C0152,Pepper,Australian Shepherd,medium,2.3,adult,59.5,,low,10,12
PET0185,C0152,Pepper,German Shepherd,large,4.4,adult,73.7,,medium,5,16
PET0186,C0153,Waffles,French Bulldog,small,4.8,adult,19.6,,medium,4,21
PET0187,C0154,Lola,French Bulldog,small,1.5,adult,21.3,,high,5,3
PET0188,C0155,Milo,Pembroke Welsh Corgi,small,0.2,puppy,23.7,,medium,7,20
PET0189,C0156,Max,Australian Shepherd,medium,2.1,adult,44.3,,medium,5,16
PET0190,C0157,Rocky,Golden Retriever,large,1.7,adult,57.4,grain,high,9,20
PET0191,C0157,Penny,German Shorthaired Pointer,large,1.8,adult,54.9,,medium,5,22
PET0192,C0158,Pepper,Golden Retriever,large,8.3,senior,60.8,,medium,4,10
PET0193,C0159,Rocky,German Shepherd,large,13.5,senior,84.8,,high,11,24
PET0194,C0160,Roxy,Rottweiler,large,2.3,adult,92.7,,low,10,11
PET0195,C0160,Roxy,Mixed Breed,medium,2.9,adult,62.3,,medium,1,22
PET0196,C0161,Sadie,Pembroke Welsh Corgi,small,1.1,adult,28.1,,medium,8,1
PET0197,C0162,Sophie,Australian Shepherd,medium,0.6,puppy,41.5,grain,high,11,27
PET0198,C0163,Bella,German Shepherd,large,7.8,senior,71.3,chicken,medium,4,7
PET0199,C0164,Maggie,Poodle,medium,4.6,adult,45.2,,medium,2,15
PET0200,C0165,Lola,Rottweiler,large,7.4,senior,84.5,,medium,10,12
PET0201,C0165,Sophie,Labrador,large,1.2,adult,70.4,,medium,11,16
PET0202,C0166,Rocky,German Shorthaired Pointer,large,8.2,senior,59.8,grain,medium,5,15
PET0203,C0167,Pepper,Labrador,large,4.5,adult,77.4,,medium,11,1
PET0204,C0168,Bailey,German Shepherd,large,10.5,senior,78.3,,low,8,23
PET0205,C0169,Olive,Labrador,large,5.5,adult,75.7,,medium,5,7
PET0206,C0170,Banjo,Mixed Breed,medium,0.8,puppy,35.9,,high,8,16
PET0207,C0171,Cooper,Dachshund,small,0.5,puppy,25.3,,medium,9,7
PET0208,C0172,Sophie,Bulldog,medium,7.6,senior,40.3,,medium,5,13
PET0209,C0172,Cooper,Boxer,large,11.1,senior,53.8,,low,10,23
PET0210,C0173,Buddy,Beagle,small,5.4,adult,22.3,,high,6,2
PET0211,C0174,Duke,Pembroke Welsh Corgi,small,2.4,adult,24.5,,high,8,8
PET0212,C0175,Jack,Australian Shepherd,medium,10.9,senior,44.7,,medium,11,19
PET0213,C0176,Duke,French Bulldog,small,1.6,adult,18.6,,medium,9,20
PET0214,C0176,Pickles,German Shorthaired Pointer,large,11.0,senior,55.3,,medium,7,18
PET0215,C0177,Ruby,Mixed Breed,medium,3.1,adult,23.1,,medium,3,17
PET0216,C0178,Daisy,Labrador,large,5.8,adult,70.3,,medium,10,6
PET0217,C0179,Cooper,Poodle,medium,4.7,adult,44.1,,low,9,7
PET0218,C0180,Finn,Labrador,large,3.6,adult,71.9,grain,medium,4,1
PET0219,C0181,Duke,German Shepherd,large,0.7,puppy,59.1,,medium,4,27
PET0220,C0182,Lola,Dachshund,small,3.9,adult,24.9,,medium,5,17
PET0221,C0183,Jack,German Shepherd,large,3.9,adult,72.6,,medium,2,12
PET0222,C0184,Biscuit,German Shepherd,large,2.3,adult,66.3,,medium,6,6
PET0223,C0184,Daisy,Dachshund,small,3.0,adult,23.5,,high,5,7
PET0224,C0185,Riley,Cavalier King Charles,small,3.1,adult,15.2,,medium,6,18
PET0225,C0186,Stella,Mixed Breed,medium,8.1,senior,30.8,,low,10,11
PET0226,C0187,Bailey,Rottweiler,large,9.5,senior,121.3,,medium,9,21
PET0227,C0187,Pickles,Poodle,medium,3.2,adult,56.2,,low,7,17
PET0228,C0188,Roxy,Labrador,large,5.3,adult,68.1,,medium,7,27
PET0229,C0189,Beans,Labrador,large,3.0,adult,64.7,chicken,medium,3,3
PET0230,C0190,Bear,Boxer,large,4.8,adult,52.1,,medium,9,14
PET0231,C0191,Mochi,French Bulldog,small,1.9,adult,18.4,,medium,5,11
PET0232,C0191,Milo,French Bulldog,small,3.4,adult,19.3,grain,low,9,23
PET0233,C0192,Buddy,Pembroke Welsh Corgi,small,0.9,puppy,23.1,,medium,2,27
PET0234,C0192,Jack,French Bulldog,small,9.6,senior,22.9,,low,1,4
PET0235,C0192,Bella,Labrador,large,10.8,senior,78.9,,medium,7,13
PET0236,C0193,Toby,French Bulldog,small,6.6,adult,23.5,,high,2,15
PET0237,C0194,Oliver,Yorkshire Terrier,small,0.2,puppy,4.7,,high,12,24
PET0238,C0195,Beans,Poodle,medium,3.1,adult,52.6,,high,5,15
PET0239,C0196,Sophie,French Bulldog,small,7.5,senior,19.4,,medium,7,22
PET0240,C0196,Oliver,French Bulldog,small,7.1,senior,25.3,,medium,5,25
PET0241,C0197,Gus,German Shepherd,large,0.9,puppy,75.6,,medium,1,21
PET0242,C0198,Oliver,Rottweiler,large,2.4,adult,90.5,,low,10,7
PET0243,C0199,Finn,Rottweiler,large,0.4,puppy,119.8,,medium,1,23
PET0244,C0199,Roxy,German Shepherd,large,0.6,puppy,57.1,,low,10,18
PET0245,C0200,Buddy,Mixed Breed,medium,3.8,adult,25.2,grain,low,3,18
PET0246,C0201,Jack,German Shepherd,large,4.2,adult,63.9,,medium,1,11
PET0247,C0202,Sadie,German Shepherd,large,9.7,senior,65.4,,medium,1,2
PET0248,C0203,Roxy,Cavalier King Charles,small,6.5,adult,15.2,,medium,6,9
PET0249,C0204,Bear,French Bulldog,small,5.0,adult,20.8,,high,4,8
PET0250,C0205,Biscuit,Cavalier King Charles,small,1.7,adult,13.1,,high,7,5
PET0251,C0206,Sadie,German Shorthaired Pointer,large,6.5,adult,63.0,,high,9,21
PET0252,C0207,Lucy,Mixed Breed,medium,5.4,adult,30.5,,medium,12,24
PET0253,C0208,Toby,Beagle,small,6.5,adult,28.0,chicken,medium,5,23
PET0254,C0209,Sadie,Labrador,large,5.4,adult,56.4,,high,10,7
PET0255,C0210,Maggie,Australian Shepherd,medium,2.2,adult,47.8,,medium,12,19
PET0256,C0211,Pickles,Mixed Breed,medium,3.7,adult,61.3,,medium,3,23
PET0257,C0212,Olive,German Shorthaired Pointer,large,4.2,adult,67.6,,high,5,15
PET0258,C0213,Bailey,Shih Tzu,small,7.7,senior,15.0,,medium,9,6
PET0259,C0213,Sadie,Pembroke Welsh Corgi,small,5.3,adult,26.0,,medium,5,17
PET0260,C0214,Sophie,Labrador,large,6.0,adult,66.1,grain,low,11,8
PET0261,C0215,Duke,Golden Retriever,large,7.1,senior,67.0,grain,medium,3,22
PET0262,C0215,Toby,Golden Retriever,large,6.9,adult,74.2,,low,7,9
PET0263,C0216,Riley,German Shorthaired Pointer,large,1.8,adult,52.7,,medium,3,20
PET0264,C0216,Zoe,Mixed Breed,medium,12.6,senior,43.4,,high,5,8
PET0265,C0217,Olive,Dachshund,small,0.2,puppy,21.6,,low,3,15
PET0266,C0218,Bear,Labrador,large,1.8,adult,69.6,,high,1,2
PET0267,C0218,Murphy,German Shepherd,large,1.6,adult,70.4,,medium,9,6
PET0268,C0219,Scout,Poodle,medium,1.8,adult,53.5,,medium,4,21
PET0269,C0220,Lucy,Cavalier King Charles,small,0.5,puppy,13.2,,medium,6,17
PET0270,C0221,Pepper,Poodle,medium,6.2,adult,50.4,chicken,medium,9,2
PET0271,C0221,Max,French Bulldog,small,2.8,adult,18.7,,high,1,1
PET0272,C0221,Mochi,Labrador,large,6.7,adult,63.7,,medium,12,10
PET0273,C0222,Lily,French Bulldog,small,4.4,adult,21.4,,medium,5,5
PET0274,C0223,Gus,Shih Tzu,small,7.0,senior,14.4,,high,8,18
PET0275,C0223,Maggie,Mixed Breed,medium,2.6,adult,69.6,,low,5,26
PET0276,C0224,Daisy,French Bulldog,small,0.9,puppy,20.3,,medium,8,27
PET0277,C0225,Lola,Golden Retriever,large,2.7,adult,58.7,,medium,3,22
PET0278,C0226,Pickles,Cavalier King Charles,small,2.7,adult,15.7,,medium,2,23
PET0279,C0226,Buddy,Mixed Breed,medium,9.4,senior,65.8,,medium,5,9
PET0280,C0226,Jack,French Bulldog,small,1.8,adult,18.4,,low,1,19
PET0281,C0227,Bailey,Australian Shepherd,medium,4.2,adult,45.3,dairy,medium,1,25
PET0282,C0228,Stella,Mixed Breed,medium,2.0,adult,45.2,,high,7,19
PET0283,C0228,Ruby,Pembroke Welsh Corgi,small,4.0,adult,27.2,,medium,5,26
PET0284,C0229,Finn,German Shepherd,large,1.6,adult,56.4,,high,12,27
PET0285,C0230,Sophie,French Bulldog,small,3.6,adult,19.4,,low,7,6
PET0286,C0231,Daisy,Yorkshire Terrier,small,7.1,senior,5.9,,low,9,9
PET0287,C0232,Gus,Mixed Breed,medium,9.7,senior,36.7,,medium,7,10
PET0288,C0232,Roxy,Labrador,large,6.5,adult,75.4,,low,10,19
PET0289,C0233,Biscuit,Golden Retriever,large,6.7,adult,62.3,,low,11,18
PET0290,C0234,Murphy,German Shepherd,large,12.5,senior,69.5,,medium,10,1
PET0291,C0235,Toby,Australian Shepherd,medium,2.8,adult,53.6,,medium,8,5
PET0292,C0235,Scout,Boxer,large,4.0,adult,57.4,,medium,5,7
PET0293,C0236,Waffles,Rottweiler,large,2.3,adult,94.1,dairy,medium,4,5
PET0294,C0237,Lola,Labrador,large,7.9,senior,57.9,grain,medium,11,12
PET0295,C0238,Scout,Golden Retriever,large,1.3,adult,73.4,,medium,12,17
PET0296,C0239,Luna,Bulldog,medium,4.2,adult,49.1,,medium,1,24
PET0297,C0240,Riley,Poodle,medium,3.6,adult,68.2,,medium,8,22
PET0298,C0241,Scout,French Bulldog,small,8.8,senior,24.7,,medium,5,10
PET0299,C0242,Roxy,Labrador,large,7.7,senior,62.3,,medium,3,20
PET0300,C0243,Rocky,Poodle,medium,12.2,senior,64.2,,high,1,13
PET0301,C0244,Milo,Pembroke Welsh Corgi,small,5.2,adult,22.4,chicken,medium,1,16
PET0302,C0245,Bailey,Labrador,large,15.2,senior,70.0,,medium,4,14
PET0303,C0246,Penny,German Shepherd,large,3.1,adult,59.2,,high,5,19
PET0304,C0247,Cooper,Rottweiler,large,6.9,adult,90.3,,low,7,27
PET0305,C0248,Beans,Golden Retriever,large,6.7,adult,57.4,chicken,medium,8,21
PET0306,C0249,Luna,Pembroke Welsh Corgi,small,7.6,senior,27.9,,medium,10,12
PET0307,C0249,Olive,Labrador,large,5.0,adult,57.5,,high,1,12
PET0308,C0250,Toby,Labrador,large,2.4,adult,72.8,,medium,3,2
PET0309,C0251,Oliver,Australian Shepherd,medium,3.2,adult,40.6,,medium,5,10
PET0310,C0252,Finn,Australian Shepherd,medium,7.4,senior,46.4,,medium,6,18
PET0311,C0253,Milo,Rottweiler,large,6.8,adult,105.1,,medium,6,12
PET0312,C0254,Bella,Shih Tzu,small,4.2,adult,9.3,,low,3,10
PET0313,C0255,Milo,German Shepherd,large,3.2,adult,71.6,,medium,4,12
PET0314,C0256,Stella,Labrador,large,2.5,adult,74.2,grain,low,2,25
PET0315,C0257,Tucker,Boxer,large,9.7,senior,62.7,chicken,medium,6,18
PET0316,C0258,Waffles,German Shepherd,large,4.1,adult,67.8,dairy,high,10,26
PET0317,C0259,Banjo,Dachshund,small,2.1,adult,23.3,,medium,6,16
PET0318,C0259,Pepper,German Shepherd,large,8.8,senior,57.0,,high,5,26
PET0319,C0260,Murphy,Golden Retriever,large,8.5,senior,65.3,chicken,high,5,22
PET0320,C0261,Olive,French Bulldog,small,3.5,adult,26.5,,low,12,9
PET0321,C0262,Tucker,Shih Tzu,small,7.6,senior,9.9,,low,7,8
PET0322,C0263,Gus,Golden Retriever,large,5.7,adult,58.1,,low,12,26
PET0323,C0264,Riley,Mixed Breed,medium,1.2,adult,62.4,,high,4,8
PET0324,C0264,Toby,Rottweiler,large,3.8,adult,81.7,,high,1,9
PET0325,C0265,Mochi,Mixed Breed,medium,9.5,senior,66.8,,high,10,14
PET0326,C0266,Murphy,Poodle,medium,3.6,adult,46.5,,high,3,10
PET0327,C0267,Waffles,Golden Retriever,large,2.5,adult,59.1,,high,8,4
